address,cost,food_type,name
" 1190 Bob Pettit Blvd, Baton Rouge 70820",$,"['Burger', ' Greek', ' Mediterranean']",Akasha Market                                     
" 2507 S Purpera Ave, Gonzales 70737",$$,"['American', ' Burger', ' Sandwich']",South of Philly                                     
 2415 South Acadian Thruway 70808,$$$,['Steak'],Outback Steakhouse                                     
" 12555 Home Port Drive, Maurepas 70449",$$$,"['Seafood', ' Cajun']",Kevin's Cajun Seafood                                     
" 8415 Bluebonnet Blvd, Baton Rouge 70810",$,"['Burger', ' Sandwich', ' Seafood']",Brew-Bacher's Grill                                     
 7711 Perkins Road 70810,$,['Sandwich'],Counter Culture Frozen Yogurt                                     
" 13091 Airline Hwy, Gonzales 70737",$$,"['Mediterranean', ' Lebanese']",Kamal's Kafe                                     
 18897 LA-22 70449,$$$,"['American', ' Seafood', ' Steak']",Dutch's Seafood and Steakhouse                                     
" 11025 N Harrells Ferry Rd, Baton Rouge 70816",$$$$,"['American', ' French']",Maison Lacour French                                     
" 3205 Perkins Road, Baton Rouge 70808",$$,"['Coffee and Tea', ' Desserts', ' Deli']",Magpie Cafe                                     
 6051 Bluebonnet Boulevard 70809,$$$,['Seafood'],Red Lobster                                     
" 5405 Hwy 44, Gonzales 70737",$$$,"['Seafood', ' Southern', ' Cajun']",The Cabin                                     
 1221 Gardere Lane 70820,$,['Southern'],Dorothy's Soul Food Kitchen                                     
" 34036 La-16, Denham Springs 70706",$,['Sandwich'],Story's Grocery & Deli                                     
" 17732 Highland Rd, Baton Rouge 70810",$,['Donuts'],Thee Heavenly Donut                                     
" 100 Lafayette Street, Baton Rouge 70801",$$$,Unknown,Capital City Grill                                     
" 7655 Old Hammond Hey, Baton Rouge 70809",$$,['Mexican'],Velvet Cactus                                     
" Hwy 19, Zachary 70791",$,"['American', ' Burger', ' Southern']",LeBlanc's Drive-In                                     
 4550 Constitution Avenue 70808,$$,['American'],Chili's                                     
" 909 E Ascension St, Gonzales 70737",$,"['Burger', ' Bar Food', ' Seafood']",Brew Bacher's Grill                                     
" 28050 Walker S Rd, Walker 70785",$$,"['Burger', ' Mexican']",Los Sombreros Mexican                                     
" 15130 Market St, Baton Rouge",$$,"['Japanese', ' Steak', ' Sushi']",Nagoya Café                                     
" 441 S Vaughan St, Brusly 70719",$$,"['Seafood', ' Southern', ' Cajun']",Louisiana Bayou Bistro                                     
" 4733 Jones Creek Rd, Baton Rouge 70817",$$,['Mexican'],Ahuuas                                     
" 402 Government St, Baton Rouge 70802",$,"['American', ' Burger', ' Desserts']",Frostop                                     
